quote,author,tags,tags_str,combined
"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .",C.S. Lewis,[],none,"Quote: ""Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . ."" by C.S. Lewis. Tags: none"
A friend is someone who knows all about you and still loves you.,Elbert Hubbard,[],none,"Quote: ""A friend is someone who knows all about you and still loves you."" by Elbert Hubbard. Tags: none"
Always forgive your enemies; nothing annoys them so much.,Oscar Wilde,[],none,"Quote: ""Always forgive your enemies; nothing annoys them so much."" by Oscar Wilde. Tags: none"
"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde,[],none,"Quote: ""To live is the rarest thing in the world. Most people exist, that is all."" by Oscar Wilde. Tags: none"
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,[],none,"Quote: ""Live as if you were to die tomorrow. Learn as if you were to live forever."" by Mahatma Gandhi. Tags: none"
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Martin Luther King Jr.,[],none,"Quote: ""Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that."" by Martin Luther King Jr.. Tags: none"
"Without music, life would be a mistake.",Friedrich Nietzsche,[],none,"Quote: ""Without music, life would be a mistake."" by Friedrich Nietzsche. Tags: none"
We accept the love we think we deserve.,Stephen Chbosky,[],none,"Quote: ""We accept the love we think we deserve."" by Stephen Chbosky. Tags: none"
I am so clever that sometimes I don't understand a single word of what I am saying.,Oscar Wilde,[],none,"Quote: ""I am so clever that sometimes I don't understand a single word of what I am saying."" by Oscar Wilde. Tags: none"
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,[],none,"Quote: ""To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment."" by Ralph Waldo Emerson. Tags: none"
"Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",Rob Siltanen,[],none,"Quote: ""Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do."" by Rob Siltanen. Tags: none"
"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,[],none,"Quote: ""Insanity is doing the same thing, over and over again, but expecting different results."" by Narcotics Anonymous. Tags: none"
"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",Marilyn Monroe,[],none,"Quote: ""I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together."" by Marilyn Monroe. Tags: none"
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,H. Jackson Brown Jr.,[],none,"Quote: ""Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover."" by H. Jackson Brown Jr.. Tags: none"
It is better to be hated for what you are than to be loved for what you are not.,Andre Gide,[],none,"Quote: ""It is better to be hated for what you are than to be loved for what you are not."" by Andre Gide. Tags: none"
"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid itâ€™s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. A phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. In their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.",Bob Marley,[],none,"Quote: ""Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid itâ€™s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. A phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. In their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life."" by Bob Marley. Tags: none"
"All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.",J.R.R. Tolkien,[],none,"Quote: ""All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king."" by J.R.R. Tolkien. Tags: none"
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,[],none,"Quote: ""It is our choices, Harry, that show what we truly are, far more than our abilities."" by J.K. Rowling. Tags: none"
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,[],none,"Quote: ""The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid."" by Jane Austen. Tags: none"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,[],none,"Quote: ""Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring."" by Marilyn Monroe. Tags: none"
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,[],none,"Quote: ""There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle."" by Albert Einstein. Tags: none"
It does not do to dwell on dreams and forget to live.,J.K. Rowling,[],none,"Quote: ""It does not do to dwell on dreams and forget to live."" by J.K. Rowling. Tags: none"
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,[],none,"Quote: ""Good friends, good books, and a sleepy conscience: this is the ideal life."" by Mark Twain. Tags: none"
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,[],none,"Quote: ""As he read, I fell in love the way you fall asleep: slowly, and then all at once."" by John Green. Tags: none"
"We are all in the gutter, but some of us are looking at the stars.",Oscar Wilde,[],none,"Quote: ""We are all in the gutter, but some of us are looking at the stars."" by Oscar Wilde. Tags: none"
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",Neil Gaiman,[],none,"Quote: ""Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten."" by Neil Gaiman. Tags: none"
"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.",Maurice Switzer,[],none,"Quote: ""It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it."" by Maurice Switzer. Tags: none"
"The fool doth think he is wise, but the wise man knows himself to be a fool.",William Shakespeare,[],none,"Quote: ""The fool doth think he is wise, but the wise man knows himself to be a fool."" by William Shakespeare. Tags: none"
"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",Mark Twain,[],none,"Quote: ""Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect)."" by Mark Twain. Tags: none"
Life is what happens to us while we are making other plans.,Allen Saunders,[],none,"Quote: ""Life is what happens to us while we are making other plans."" by Allen Saunders. Tags: none"
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bill Keane,[],none,"Quote: ""Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present."" by Bill Keane. Tags: none"
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,[],none,"Quote: ""I have not failed. I've just found 10,000 ways that won't work."" by Thomas A. Edison. Tags: none"
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,[],none,"Quote: ""It is not a lack of love, but a lack of friendship that makes unhappy marriages."" by Friedrich Nietzsche. Tags: none"
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,[],none,"Quote: ""The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."" by Elie Wiesel. Tags: none"
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,[],none,"Quote: ""A woman is like a tea bag; you never know how strong it is until it's in hot water."" by Eleanor Roosevelt. Tags: none"
The man who does not read has no advantage over the man who cannot read.,Mark Twain,[],none,"Quote: ""The man who does not read has no advantage over the man who cannot read."" by Mark Twain. Tags: none"
If you don't stand for something you will fall for anything.,Gordon A. Eadie,[],none,"Quote: ""If you don't stand for something you will fall for anything."" by Gordon A. Eadie. Tags: none"
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",douglas adams,[],none,"Quote: ""I may not have gone where I intended to go, but I think I have ended up where I needed to be."" by douglas adams. Tags: none"
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,[],none,"Quote: ""I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close."" by Pablo Neruda. Tags: none"
I solemnly swear that I am up to no good.,J.K. Rowling,[],none,"Quote: ""I solemnly swear that I am up to no good."" by J.K. Rowling. Tags: none"
"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.",Groucho Marx,[],none,"Quote: ""Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read."" by Groucho Marx. Tags: none"
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,[],none,"Quote: ""I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world."" by Albert Einstein. Tags: none"
"Love all, trust a few, do wrong to none.",William Shakespeare,[],none,"Quote: ""Love all, trust a few, do wrong to none."" by William Shakespeare. Tags: none"
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,[],none,"Quote: ""I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living."" by Dr. Seuss. Tags: none"
Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.,Neil Gaiman,[],none,"Quote: ""Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up."" by Neil Gaiman. Tags: none"
"A day without sunshine is like, you know, night.",Steve Martin,[],none,"Quote: ""A day without sunshine is like, you know, night."" by Steve Martin. Tags: none"
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",George R.R. Martin,[],none,"Quote: ""A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."" by George R.R. Martin. Tags: none"
Never put off till tomorrow what may be done day after tomorrow just as well.,Mark Twain,[],none,"Quote: ""Never put off till tomorrow what may be done day after tomorrow just as well."" by Mark Twain. Tags: none"
,Kent M. Keith,[],none,"Quote: """" by Kent M. Keith. Tags: none"
You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,Dr. Seuss,[],none,"Quote: ""You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go..."" by Dr. Seuss. Tags: none"
That which does not kill us makes us stronger.,Friedrich Nietzsche,[],none,"Quote: ""That which does not kill us makes us stronger."" by Friedrich Nietzsche. Tags: none"
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,[],none,"Quote: ""Being deeply loved by someone gives you strength, while loving someone deeply gives you courage."" by Lao Tzu. Tags: none"
It is never too late to be what you might have been.,George Eliot,[],none,"Quote: ""It is never too late to be what you might have been."" by George Eliot. Tags: none"
For every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,[],none,"Quote: ""For every minute you are angry you lose sixty seconds of happiness."" by Ralph Waldo Emerson. Tags: none"
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,[],none,"Quote: ""It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends."" by J.K. Rowling. Tags: none"
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,[],none,"Quote: ""This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."" by Marilyn Monroe. Tags: none"
I love deadlines. I love the whooshing noise they make as they go by.,Douglas Adams,[],none,"Quote: ""I love deadlines. I love the whooshing noise they make as they go by."" by Douglas Adams. Tags: none"
"If you judge people, you have no time to love them.",Mother Teresa,[],none,"Quote: ""If you judge people, you have no time to love them."" by Mother Teresa. Tags: none"
"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",Sarah Dessen,[],none,"Quote: ""There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment."" by Sarah Dessen. Tags: none"
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,[],none,"Quote: ""If you can't explain it to a six year old, you don't understand it yourself."" by Albert Einstein. Tags: none"
"I'm not upset that you lied to me, I'm upset that from now on I can't believe you.",Friedrich Nietzsche,[],none,"Quote: ""I'm not upset that you lied to me, I'm upset that from now on I can't believe you."" by Friedrich Nietzsche. Tags: none"
There is no greater agony than bearing an untold story inside you.,Maya Angelou,[],none,"Quote: ""There is no greater agony than bearing an untold story inside you."" by Maya Angelou. Tags: none"
Love is that condition in which the happiness of another person is essential to your own.,Robert A. Heinlein,[],none,"Quote: ""Love is that condition in which the happiness of another person is essential to your own."" by Robert A. Heinlein. Tags: none"
Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,Garrison Keillor,[],none,"Quote: ""Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car."" by Garrison Keillor. Tags: none"
"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",Haruki Murakami,[],none,"Quote: ""If you only read the books that everyone else is reading, you can only think what everyone else is thinking."" by Haruki Murakami. Tags: none"
I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,[],none,"Quote: ""I have always imagined that Paradise will be a kind of library."" by Jorge Luis Borges. Tags: none"
Everything you can imagine is real.,Pablo Picasso,[],none,"Quote: ""Everything you can imagine is real."" by Pablo Picasso. Tags: none"
"Women and cats will do as they please, and men and dogs should relax and get used to the idea.",Robert A. Heinlein,[],none,"Quote: ""Women and cats will do as they please, and men and dogs should relax and get used to the idea."" by Robert A. Heinlein. Tags: none"
Sometimes the questions are complicated and the answers are simple.,Dr. Seuss,[],none,"Quote: ""Sometimes the questions are complicated and the answers are simple."" by Dr. Seuss. Tags: none"
"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectâ€”you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakâ€”her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",Bob Marley,[],none,"Quote: ""You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectâ€”you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakâ€”her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there."" by Bob Marley. Tags: none"
Never trust anyone who has not brought a book with them.,Lemony Snicket,[],none,"Quote: ""Never trust anyone who has not brought a book with them."" by Lemony Snicket. Tags: none"
"You love me. Real or not real?""I tell him, ""Real.",Suzanne Collins,[],none,"Quote: ""You love me. Real or not real?""I tell him, ""Real."" by Suzanne Collins. Tags: none"
You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,[],none,"Quote: ""You can never get a cup of tea large enough or a book long enough to suit me."" by C.S. Lewis. Tags: none"
We read to know we're not alone.,William Nicholson,[],none,"Quote: ""We read to know we're not alone."" by William Nicholson. Tags: none"
"Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.",John Green,[],none,"Quote: ""Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book."" by John Green. Tags: none"
All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,[],none,"Quote: ""All you need is love. But a little chocolate now and then doesn't hurt."" by Charles M. Schulz. Tags: none"
"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",J.K. Rowling,[],none,"Quote: ""Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?"" by J.K. Rowling. Tags: none"
Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,[],none,"Quote: ""Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye."" by Jim Henson. Tags: none"
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,[],none,"Quote: ""Life isn't about finding yourself. Life is about creating yourself."" by George Bernard Shaw. Tags: none"
"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Dr. Seuss,[],none,"Quote: ""Today you are You, that is truer than true. There is no one alive who is Youer than You."" by Dr. Seuss. Tags: none"
"To the well-organized mind, death is but the next great adventure.",J.K. Rowling,[],none,"Quote: ""To the well-organized mind, death is but the next great adventure."" by J.K. Rowling. Tags: none"
I'm not afraid of death; I just don't want to be there when it happens.,Woody Allen,[],none,"Quote: ""I'm not afraid of death; I just don't want to be there when it happens."" by Woody Allen. Tags: none"
"If one cannot enjoy reading a book over and over again, there is no use in reading it at all.",Oscar Wilde,[],none,"Quote: ""If one cannot enjoy reading a book over and over again, there is no use in reading it at all."" by Oscar Wilde. Tags: none"
"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",Albert Einstein,[],none,"Quote: ""If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales."" by Albert Einstein. Tags: none"
"Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting.",Cassandra Clare,[],none,"Quote: ""Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting."" by Cassandra Clare. Tags: none"
Logic will get you from A to Z; imagination will get you everywhere.,Albert Einstein,[],none,"Quote: ""Logic will get you from A to Z; imagination will get you everywhere."" by Albert Einstein. Tags: none"
"I'm in love with you,"" he said quietly.""Augustus,"" I said.""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you.",John Green,[],none,"Quote: ""I'm in love with you,"" he said quietly.""Augustus,"" I said.""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you."" by John Green. Tags: none"
"Whenever I feel the need to exercise, I lie down until it goes away.",Paul   Terry,[],none,"Quote: ""Whenever I feel the need to exercise, I lie down until it goes away."" by Paul   Terry. Tags: none"
"I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..",Nicholas Sparks,[],none,"Quote: ""I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough.."" by Nicholas Sparks. Tags: none"
Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.,Markus Zusak,[],none,"Quote: ""Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are."" by Markus Zusak. Tags: none"
You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.,John Green,[],none,"Quote: ""You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices."" by John Green. Tags: none"
"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Bob Marley,[],none,"Quote: ""The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for."" by Bob Marley. Tags: none"
"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",Dr. Seuss,[],none,"Quote: ""The more that you read, the more things you will know. The more that you learn, the more places you'll go."" by Dr. Seuss. Tags: none"
